Date,Etats-Unis,France,Canada
01/1900,30,14,2
02/1900,0,49,26
03/1900,12,24,32
04/1900,39,33,5
05/1900,0,46,44
06/1900,1,16,0
07/1900,14,36,45
08/1900,11,34,41
09/1900,41,26,38
10/1900,25,2,26
11/1900,29,27,30
12/1900,29,1,28
01/1901,5,12,2
02/1901,21,28,32
03/1901,26,34,45
04/1901,30,35,9
05/1901,40,43,26
06/1901,7,11,5
07/1901,33,46,6
08/1901,11,50,32
09/1901,5,47,35
10/1901,8,26,32
11/1901,31,14,34
12/1901,6,16,20
01/1902,4,21,37
02/1902,49,19,4
03/1902,29,15,26
04/1902,16,16,38
05/1902,5,4,20
06/1902,11,14,14
07/1902,34,6,41
08/1902,25,38,17
09/1902,39,30,6
10/1902,19,13,44
11/1902,40,47,7
12/1902,15,40,2
01/1903,14,49,15
02/1903,44,1,9
03/1903,9,0,35
04/1903,5,38,45
05/1903,20,13,5
06/1903,50,35,25
07/1903,47,11,19
08/1903,7,3,23
09/1903,49,16,16
10/1903,42,9,17
11/1903,32,39,1
12/1903,18,33,2
01/1904,38,14,28
02/1904,22,16,42
03/1904,17,16,14
04/1904,16,8,4
05/1904,0,2,22
06/1904,31,16,40
07/1904,44,23,0
08/1904,20,49,43
09/1904,20,29,25
10/1904,33,26,8
11/1904,3,19,6
12/1904,28,32,17
01/1905,11,46,50
02/1905,42,14,14
03/1905,50,24,43
04/1905,3,32,23
05/1905,0,28,19
06/1905,12,48,9
07/1905,13,31,8
08/1905,36,21,39
09/1905,48,14,31
10/1905,18,11,37
11/1905,47,12,27
12/1905,24,47,34
01/1906,44,50,33
02/1906,32,42,49
03/1906,16,1,18
04/1906,26,46,47
05/1906,29,7,21
06/1906,8,19,39
07/1906,50,40,14
08/1906,49,3,26
09/1906,20,33,0
10/1906,33,13,1
11/1906,24,19,33
12/1906,5,47,31
01/1907,49,30,40
02/1907,48,42,39
03/1907,28,45,6
04/1907,34,19,6
05/1907,11,45,37
06/1907,11,47,18
07/1907,11,9,12
08/1907,44,1,22
09/1907,22,45,7
10/1907,41,17,45
11/1907,21,6,1
12/1907,18,47,27
01/1908,30,33,47
02/1908,33,31,9
03/1908,16,47,8
04/1908,5,48,1
05/1908,47,26,10
06/1908,1,16,38
07/1908,42,18,42
08/1908,5,29,21
09/1908,39,37,37
10/1908,3,31,1
11/1908,49,31,48
12/1908,19,8,29
01/1909,37,50,38
02/1909,28,37,29
03/1909,18,12,35
04/1909,3,0,36
05/1909,1,23,23
06/1909,27,26,2
07/1909,0,29,0
08/1909,33,30,18
09/1909,33,43,26
